Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Delivery Lead Time
24844,Medium,0.09,78.69,20,14,Gwendolyn F Tyson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,0.43,United States,Central,Minnesota,Prior Lake,55372,12 May 2015,14 May 2015,803,16,1164,86838,2
25933,High,0,99.99,20,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,0.52,United States,West,Washington,Redmond,98052,10 May 2015,11 May 2015,26,6,647,91454,1
23880,High,0.08,896.99,20,84,Helen Stein,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL300 Electric Binding System,0.38,United States,East,Ohio,Cincinnati,45231,30 March 2015,02 April 2015,7402,13,10728,87366,3
24663,Low,0.05,161.55,20,87,Norman Shields,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,West,California,Vacaville,95687,03 June 2015,08 June 2015,1892,19,3128,90596,5
5361,Critical,0.02,49.99,20,181,Wesley Waller,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,United States,West,California,San Francisco,94122,21 February 2015,21 February 2015,77,18,902,38087,0
23361,Critical,0.02,49.99,20,184,Phillip Holmes,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,United States,East,Massachusetts,Arlington,2474,21 February 2015,21 February 2015,77,5,251,88360,0
25158,Critical,0,161.55,20,197,Samantha Weaver,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Kansas,Overland Park,66212,02 April 2015,04 April 2015,1167,19,3109,88921,2
7158,Critical,0,161.55,20,198,Leroy Blanchard,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Michigan,Detroit,48138,02 April 2015,04 April 2015,1015,77,12600,51072,2
23153,Not Specified,0.03,48.04,20,445,Judy Barrett,Regular Air,Small Business,Office Supplies,Paper,Small Box,14-7/8 x 11 Blue Bar Computer Printout Paper,0.37,United States,Central,Nebraska,Norfolk,68701,11 April 2015,13 April 2015,4,2,102,88083,2
18467,Low,0.07,165.2,20,463,Debbie Stevenson,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Economy Rollaway Files,0.59,United States,West,California,West Hollywood,90069,14 January 2015,16 January 2015,522,7,1082,88061,2
21517,Not Specified,0.03,1270.99,20,524,Gina McKnight,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,0.35,United States,South,Tennessee,Farragut,37922,20 January 2015,22 January 2015,364,2,2589,91127,2
18664,Medium,0.03,162.93,20,578,Evan K Bullard,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Multimedia Mailers,0.39,United States,East,Connecticut,Naugatuck,6770,13 May 2015,14 May 2015,293,3,516,88644,1
19781,Critical,0.08,30.53,20,592,Eva Silverman,Regular Air,Small Business,Office Supplies,Labels,Small Box,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",0.39,United States,Central,Illinois,Wilmette,60091,17 January 2015,17 January 2015,240,10,286,86307,0
21718,Medium,0.02,419.19,20,627,Scott McKenna,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Smead Adjustable Mobile File Trolley with Lockable Top,0.58,United States,East,Ohio,Steubenville,43952,21 April 2015,22 April 2015,6610,22,9580,90469,1
24869,Low,0.03,51.75,20,646,Robin High,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",0.55,United States,Central,Minnesota,Shakopee,55379,17 June 2015,22 June 2015,261,16,819,90735,5
25059,Critical,0.06,161.55,20,674,Albert Frost,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Missouri,Raytown,64133,02 January 2015,03 January 2015,8,3,485,88174,1
21610,Medium,0.02,367.99,20,679,Katie Dougherty,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Ibimaster 300 Manual Binding System,0.4,United States,West,Washington,Spanaway,98387,04 March 2015,05 March 2015,4569,17,6621,88890,1
19225,Low,0.1,40.48,20,696,Johnny Reid,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Keytronic Designer 104- Key Black Keyboard,0.77,United States,Central,Indiana,Crown Point,46307,07 April 2015,09 April 2015,580,9,356,89848,2
1225,Low,0.1,40.48,20,698,Nelson Hensley,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Keytronic Designer 104- Key Black Keyboard,0.77,United States,West,Washington,Seattle,98105,07 April 2015,09 April 2015,580,36,1423,8994,2
20790,Not Specified,0.03,95.43,20,719,Stephen Lam,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,0.79,United States,West,Nevada,Pahrump,89041,28 February 2015,02 March 2015,79,2,206,89344,2
20855,Not Specified,0.09,27.75,20,750,Jordan Wilkinson,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer®,0.67,United States,South,Kentucky,Florence,41042,12 January 2015,13 January 2015,225,10,258,91200,1
25833,Low,0.05,161.55,20,916,Marion Wilcox,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Texas,Burleson,76028,04 January 2015,11 January 2015,35,3,499,86357,7
19002,High,0.03,33.98,20,1000,Lynn Bell,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Linden® 12"" Wall Clock With Oak Frame",0.55,United States,East,Vermont,Bennington,5201,14 March 2015,15 March 2015,1,12,432,89433,1
21960,Critical,0.03,99.99,20,1036,Jessica Huffman,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,US Robotics 56K V.92 External Faxmodem,0.52,United States,East,Ohio,Dublin,43017,13 March 2015,14 March 2015,294,6,598,90710,1
25467,Medium,0.05,363.25,20,1142,Russell Chan,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,0.57,United States,Central,Texas,Waco,76706,04 January 2015,06 January 2015,1767,7,2561,86573,2
1552,Low,0.09,49.99,20,1193,Louis Parrish,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Zoom V.92 USB External Faxmodem,0.41,United States,East,District of Columbia,Washington,20016,28 June 2015,30 June 2015,17,48,2373,11206,2
